,地區,姓名,號次,性別,出生年次,參選年齡,推薦政黨,得票數,得票率,當選註記,是否現任,,
第七屆(2008),屏東縣第01選區,蘇震清,5,男,1965,43,民主進步黨,63453,46.90%,*,否,,
第七屆(2008),全國（山原）,高金素梅,5,女,1965,43,無黨團結聯盟,20012,23.72%,*,是,,
第七屆(2008),臺北市第06選區,羅文嘉,5,男,1966,42,民主進步黨,48240,32.45%,,否,,
第七屆(2008),高雄市第05選區,林國正,6,男,1966,42,中國國民黨,62480,46.01%,,否,,
第七屆(2008),臺北縣第04選區,吳秉叡,3,男,1966,42,民主進步黨,70265,47.13%,,是,,
第七屆(2008),花蓮縣第01選區,鍾寶珠,1,女,1966,42,綠黨,2473,2.62%,,否,,
第七屆(2008),臺北市第05選區,魏志中,3,男,1965,43,無黨籍及未經政黨推薦,284,0.18%,,否,,
第七屆(2008),高雄市第01選區,姚文智,2,男,1965,43,民主進步黨,65266,41.17%,,否,,
第七屆(2008),苗栗縣第02選區,莊嚴,3,男,1965,43,民主自由黨,474,0.37%,,否,,
第七屆(2008),嘉義市第01選區,凌子楚,1,男,1965,43,台灣團結聯盟,14273,12.63%,,否,,
第七屆(2008),臺中縣第05選區,楊瓊瓔,1,女,1964,44,中國國民黨,72270,57.68%,*,是,,
第七屆(2008),高雄市第03選區,李昆澤,3,男,1964,44,民主進步黨,49392,42.70%,,是,,
第七屆(2008),臺北縣第02選區,楊蓮福,4,男,1964,44,無黨籍及未經政黨推薦,14948,10.89%,,否,,
第七屆(2008),雲林縣第01選區,蔡桓生,2,男,1964,44,無黨籍及未經政黨推薦,1648,1.07%,,否,,
第七屆(2008),臺南縣第02選區,黃偉哲,2,男,1963,45,民主進步黨,95061,59.16%,*,是,,
第七屆(2008),屏東縣第03選區,潘孟安,1,男,1963,45,民主進步黨,59896,51.30%,*,是,,
第七屆(2008),金門縣第01選區,陳福海,1,男,1963,45,無黨籍及未經政黨推薦,9912,37.31%,*,否,,
第七屆(2008),臺北市第05選區,段宜康,6,男,1963,45,民主進步黨,61480,40.94%,,否,,
第七屆(2008),臺北市第06選區,王保善,3,男,1963,45,紅黨,417,0.28%,,否,,
第七屆(2008),高雄市第03選區,吳春香,4,女,1963,45,客家黨,249,0.21%,,否,,
第七屆(2008),臺北縣第03選區,朱俊曉,1,男,1963,45,中國國民黨,73286,48.24%,,是,,
第七屆(2008),臺北縣第10選區,李恢先,2,男,1963,45,紅黨,669,0.51%,,否,,
第七屆(2008),臺北縣第11選區,林美秀,3,女,1963,45,台灣農民黨,696,0.45%,,否,,
第七屆(2008),高雄縣第03選區,簡宏德,5,男,1963,45,台灣農民黨,996,0.80%,,否,,
第七屆(2008),高雄縣第04選區,楊東杰,4,男,1963,45,台灣農民黨,377,0.25%,,否,,
第七屆(2008),花蓮縣第01選區,傅崐萁,3,男,1962,46,中國國民黨,62548,66.39%,*,是,,
第七屆(2008),臺北市第07選區,田欣,6,男,1962,46,民主進步黨,46059,31.85%,,否,,
第七屆(2008),苗栗縣第02選區,詹運喜,4,男,1962,46,民主進步黨,18905,14.90%,,否,,
第七屆(2008),屏東縣第02選區,李世斌,1,男,1962,46,民主進步黨,52441,43.17%,,否,,
第七屆(2008),全國（平原）,陳秀惠,4,女,1962,46,民主進步黨,5710,8.71%,,是,,
第七屆(2008),臺中市第02選區,盧秀燕,4,女,1961,47,中國國民黨,95873,57.08%,*,是,,
第七屆(2008),臺北市第01選區,張歷元,1,男,1961,47,台灣農民黨,336,0.21%,,否,,
第七屆(2008),臺北市第03選區,郭正亮,5,男,1961,47,民主進步黨,63773,38.44%,,是,,
第七屆(2008),臺北市第04選區,莊婉均,1,女,1961,47,無黨籍及未經政黨推薦,1684,0.99%,,否,,
第七屆(2008),高雄市第04選區,劉慧雯,3,女,1961,47,台灣農民黨,1105,0.76%,,否,,
第七屆(2008),臺北縣第01選區,莊孟學,2,男,1961,47,台灣團結聯盟,1598,1.12%,,否,,
第七屆(2008),宜蘭縣第01選區,陳金德,1,男,1961,47,民主進步黨,81984,45.86%,,是,,
第七屆(2008),臺中縣第02選區,顏清標,3,男,1960,48,無黨團結聯盟,83349,59.94%,*,是,,
第七屆(2008),臺南縣第01選區,葉宜津,1,女,1960,48,民主進步黨,83909,54.57%,*,是,,
第七屆(2008),臺北市第02選區,王世堅,3,男,1960,48,民主進步黨,71119,45.78%,,是,,
第七屆(2008),臺北縣第03選區,劉一德,4,男,1960,48,台灣團結聯盟,1645,1.08%,,否,,
第七屆(2008),桃園縣第05選區,李月琴,4,女,1960,48,民主進步黨,38671,30.95%,,否,,
第七屆(2008),桃園縣第06選區,姚吉鴻,1,男,1960,48,台灣團結聯盟,3147,2.57%,,否,,
第七屆(2008),彰化縣第01選區,柯金德,2,男,1960,48,民主進步黨,31516,21.07%,,否,,
第七屆(2008),高雄縣第01選區,江嘉盛,2,男,1960,48,公民黨,1025,0.75%,,否,,
第七屆(2008),高雄縣第03選區,黃憲南,2,男,1960,48,無黨籍及未經政黨推薦,317,0.25%,,否,,
第七屆(2008),臺東縣第01選區,劉昀筑,3,女,1960,48,客家黨,1078,1.89%,,否,,
第七屆(2008),新竹市第01選區,鄧秀寶,3,女,1960,48,民主自由黨,2059,1.25%,,否,,
第七屆(2008),臺中市第03選區,林振東,3,男,1960,48,民主自由黨,611,0.44%,,否,,
第七屆(2008),金門縣第01選區,李沃士,2,男,1960,48,無黨籍及未經政黨推薦,5274,19.85%,,否,,
第七屆(2008),臺北市第06選區,李慶安,2,女,1959,49,中國國民黨,99294,66.80%,*,是,,
第七屆(2008),臺北縣第04選區,李鴻鈞,1,男,1959,49,中國國民黨,77122,51.73%,*,是,,
第七屆(2008),臺南縣第03選區,李俊毅,2,男,1959,49,民主進步黨,84873,52.66%,*,是,,
第七屆(2008),臺東縣第01選區,黃健庭,2,男,1959,49,中國國民黨,34794,61.09%,*,是,,
第七屆(2008),臺南市第02選區,賴清德,2,男,1959,49,民主進步黨,88172,51.64%,*,是,,
第七屆(2008),臺北市第08選區,周柏雅,3,男,1959,49,民主進步黨,38261,26.35%,,否,,
第七屆(2008),彰化縣第02選區,林招膨,3,男,1959,49,台灣團結聯盟,4047,3.11%,,否,,
第七屆(2008),高雄縣第02選區,余政憲,2,男,1959,49,民主進步黨,65257,42.60%,,否,,
第七屆(2008),屏東縣第01選區,藍群傑,4,男,1959,49,無黨籍及未經政黨推薦,6656,4.92%,,否,,
第七屆(2008),臺北縣第01選區,吳育昇,4,男,1958,50,中國國民黨,82949,58.38%,*,是,,
第七屆(2008),臺中縣第03選區,江連福,1,男,1958,50,中國國民黨,75563,54.95%,*,是,,
第七屆(2008),彰化縣第02選區,林滄敏,2,男,1958,50,中國國民黨,77871,60.02%,*,是,,
第七屆(2008),臺中市第01選區,蔡錦隆,2,男,1958,50,中國國民黨,84664,61.29%,*,是,,
第七屆(2008),臺北市第04選區,張慶源,2,男,1958,50,無黨籍及未經政黨推薦,470,0.27%,,否,,
第七屆(2008),臺北市第04選區,徐國勇,6,男,1958,50,民主進步黨,60004,35.44%,,是,,
第七屆(2008),臺北市第05選區,葉玫,1,女,1958,50,紅黨,324,0.21%,,否,,
第七屆(2008),臺北縣第02選區,林志嘉,1,男,1958,50,台灣團結聯盟,8242,6.00%,,是,,
第七屆(2008),臺北縣第10選區,李文忠,3,男,1958,50,民主進步黨,50869,39.37%,,否,,
第七屆(2008),臺北縣第11選區,陳永福,2,男,1958,50,民主進步黨,43580,28.76%,,否,,
第七屆(2008),宜蘭縣第01選區,謝李靜宜,3,女,1958,50,民主自由黨,1795,1.00%,,否,,
第七屆(2008),彰化縣第04選區,,2,男,1958,50,無黨籍及未經政黨推薦,11302,7.64%,,否,,
第七屆(2008),屏東縣第01選區,蔡豪,3,男,1958,50,無黨籍及未經政黨推薦,58727,43.41%,,是,,
第七屆(2008),澎湖縣第01選區,歐中慨,1,男,1958,50,無黨籍及未經政黨推薦,3373,8.73%,,否,,
第七屆(2008),臺中市第03選區,何敏豪,2,男,1958,50,民主進步黨,59969,43.21%,,是,,
第七屆(2008),桃園縣第04選區,楊麗環,1,女,1957,51,中國國民黨,80769,62.42%,*,是,,
第七屆(2008),臺中縣第04選區,徐中雄,2,男,1957,51,中國國民黨,68216,64.00%,*,是,,
第七屆(2008),彰化縣第03選區,鄭汝芬,1,女,1957,51,中國國民黨,68486,45.33%,*,否,,
第七屆(2008),全國（山原）,孔文吉,2,男,1957,51,中國國民黨,22391,26.54%,*,是,,
第七屆(2008),臺北市第08選區,梅峯,1,男,1957,51,無黨籍及未經政黨推薦,171,0.11%,,否,,
第七屆(2008),高雄市第04選區,林志聰,4,男,1957,51,公民黨,257,0.17%,,否,,
第七屆(2008),臺北縣第08選區,趙永清,3,男,1957,51,民主進步黨,63123,39.65%,,是,,
第七屆(2008),桃園縣第03選區,張明松,3,男,1957,51,客家黨,618,0.45%,,否,,
第七屆(2008),臺中縣第04選區,高基讚,1,男,1957,51,台灣團結聯盟,38368,35.99%,,否,,
第七屆(2008),雲林縣第02選區,尹伶瑛,1,女,1957,51,無黨籍及未經政黨推薦,17282,10.72%,,是,,
第七屆(2008),嘉義縣第02選區,涂文生,3,男,1957,51,中國國民黨,48131,42.12%,,否,,
第七屆(2008),屏東縣第03選區,蘇清泉,2,男,1957,51,中國國民黨,50195,42.99%,,否,,
第七屆(2008),臺中市第02選區,沈智慧,2,女,1957,51,無黨籍及未經政黨推薦,10714,6.37%,,是,,
第七屆(2008),金門縣第01選區,胡偉生,4,男,1957,51,無黨籍及未經政黨推薦,1070,4.02%,,否,,
第七屆(2008),金門縣第01選區,吳成典,6,男,1957,51,中國國民黨,9838,37.03%,,是,,
第七屆(2008),連江縣第01選區,林惠官,2,男,1957,51,親民黨,2064,47.03%,,是,,
第七屆(2008),高雄市第02選區,管碧玲,5,女,1956,52,民主進步黨,65604,50.53%,*,是,,
第七屆(2008),桃園縣第01選區,陳根德,1,男,1956,52,中國國民黨,75973,61.76%,*,是,,
第七屆(2008),高雄縣第01選區,鍾紹和,1,男,1956,52,中國國民黨,72309,53.55%,*,是,,
第七屆(2008),高雄市第05選區,楊美蘭,5,女,1956,52,公民黨,596,0.43%,,否,,
第七屆(2008),臺北縣第05選區,廖本煙,5,男,1956,52,民主進步黨,55444,46.83%,,是,,
第七屆(2008),臺中縣第02選區,李順涼,1,男,1956,52,無黨籍及未經政黨推薦,14611,10.50%,,否,,
第七屆(2008),彰化縣第02選區,邱創進,1,男,1956,52,民主進步黨,47809,36.85%,,是,,
第七屆(2008),彰化縣第03選區,楊宗哲,2,男,1956,52,無黨籍及未經政黨推薦,35989,23.82%,,是,,
第七屆(2008),彰化縣第04選區,陳朝容,1,男,1956,52,無黨籍及未經政黨推薦,20690,14.00%,,是,,
第七屆(2008),南投縣第02選區,湯火聖,2,男,1956,52,民主進步黨,44397,41.25%,,是,,
第七屆(2008),全國（山原）,侯金助,4,男,1956,52,民主進步黨,4420,5.23%,,否,,
第七屆(2008),高雄市第05選區,郭玟成,1,男,1955,53,民主進步黨,70576,51.98%,*,是,,
第七屆(2008),臺北縣第06選區,林鴻池,2,男,1955,53,中國國民黨,69097,56.93%,*,是,,
第七屆(2008),苗栗縣第02選區,徐耀昌,6,男,1955,53,中國國民黨,57880,45.62%,*,是,,
第七屆(2008),嘉義縣第01選區,翁重鈞,2,男,1955,53,中國國民黨,75489,57.47%,*,是,,
第七屆(2008),全國（平原）,廖國棟,2,男,1955,53,中國國民黨,20156,30.76%,*,是,,
第七屆(2008),臺北市第03選區,李林耀,2,男,1955,53,制憲聯盟,128,0.07%,,否,,
第七屆(2008),臺北縣第05選區,陳誠鈞,2,男,1955,53,無黨籍及未經政黨推薦,154,0.13%,,否,,
第七屆(2008),臺北縣第06選區,王淑慧,1,女,1955,53,民主進步黨,51775,42.66%,,是,,
第七屆(2008),臺北縣第07選區,莊碩漢,1,男,1955,53,民主進步黨,49008,41.61%,,是,,
第七屆(2008),桃園縣第06選區,邱創良,2,男,1955,53,民主進步黨,39660,32.40%,,否,,
第七屆(2008),臺中縣第03選區,簡肇棟,2,男,1955,53,民主進步黨,61927,45.04%,,否,,
第七屆(2008),臺中縣第05選區,郭俊銘,2,男,1955,53,民主進步黨,53012,42.31%,,是,,
第七屆(2008),屏東縣第01選區,王樹圍,1,男,1955,53,無黨籍及未經政黨推薦,2355,1.74%,,否,,
第七屆(2008),澎湖縣第01選區,陳光復,3,男,1955,53,民主進步黨,15356,39.76%,,否,,
第七屆(2008),臺北市第01選區,丁守中,3,男,1954,54,中國國民黨,94694,59.81%,*,是,,
第七屆(2008),臺北市第07選區,費鴻泰,5,男,1954,54,中國國民黨,95145,65.79%,*,是,,
第七屆(2008),苗栗縣第01選區,李乙廷,2,男,1954,54,中國國民黨,64817,58.01%,*,否,,
第七屆(2008),彰化縣第04選區,蕭景田,4,男,1954,54,中國國民黨,60980,41.26%,*,否,,
第七屆(2008),嘉義縣第02選區,張花冠,1,女,1954,54,民主進步黨,65192,57.05%,*,是,,
第七屆(2008),連江縣第01選區,曹爾忠,3,男,1954,54,中國國民黨,2182,49.72%,*,是,,
第七屆(2008),臺北市第07選區,張國慶,1,男,1954,54,台灣團結聯盟,1350,0.93%,,否,,
第七屆(2008),臺北縣第12選區,廖學廣,3,男,1954,54,無黨籍及未經政黨推薦,11348,9.31%,,否,,
第七屆(2008),桃園縣第01選區,陳志明,2,男,1954,54,客家黨,647,0.52%,,否,,
第七屆(2008),桃園縣第02選區,郭榮宗,1,男,1954,54,民主進步黨,58577,44.91%,,是,,
第七屆(2008),苗栗縣第01選區,杜文卿,1,男,1954,54,民主進步黨,46905,41.98%,,是,,
第七屆(2008),雲林縣第02選區,張昆煌,4,男,1954,54,大道慈悲濟世黨,454,0.28%,,否,,
第七屆(2008),嘉義縣第01選區,蔡啟芳,1,男,1954,54,民主進步黨,55860,42.52%,,是,,
第七屆(2008),臺東縣第01選區,許志雄,1,男,1954,54,無黨籍及未經政黨推薦,21080,37.01%,,否,,
第七屆(2008),嘉義市第01選區,林瑞霞,4,女,1954,54,綠黨,663,0.58%,,否,,
第七屆(2008),臺北市第04選區,蔡正元,3,男,1953,55,中國國民黨,105375,62.25%,*,是,,
第七屆(2008),高雄市第01選區,黃昭順,1,女,1953,55,中國國民黨,92417,58.29%,*,是,,
第七屆(2008),臺北縣第09選區,林德福,4,男,1953,55,中國國民黨,98634,69.61%,*,是,,
第七屆(2008),臺北縣第10選區,盧嘉辰,1,男,1953,55,中國國民黨,77656,60.10%,*,否,,
第七屆(2008),臺中市第03選區,黃義交,5,男,1953,55,中國國民黨,76209,54.91%,*,是,,
第七屆(2008),臺北市第01選區,高建智,2,男,1953,55,民主進步黨,61408,38.79%,,是,,
第七屆(2008),高雄市第03選區,林進興,5,男,1953,55,無黨籍及未經政黨推薦,8225,7.11%,,是,,
第七屆(2008),臺北縣第12選區,陳朝龍,1,男,1953,55,民主進步黨,46590,38.24%,,是,,
第七屆(2008),桃園縣第01選區,李鎮楠,3,男,1953,55,民主進步黨,45257,36.79%,,是,,
第七屆(2008),新竹縣第01選區,余玉池,2,男,1953,55,客家黨,4152,2.15%,,否,,
第七屆(2008),全國（山原）,宋仁和,7,男,1953,55,制憲聯盟,168,0.19%,,否,,
第七屆(2008),高雄市第03選區,侯彩鳳,2,女,1952,56,中國國民黨,56826,49.13%,*,是,,
第七屆(2008),新竹市第01選區,呂學樟,1,男,1952,56,中國國民黨,99124,60.61%,*,是,,
第七屆(2008),全國（平原）,林正二,1,男,1952,56,親民黨,11925,18.19%,*,是,,
第七屆(2008),臺北縣第11選區,葛彰台,1,男,1952,56,無黨籍及未經政黨推薦,246,0.16%,,否,,
第七屆(2008),臺南縣第02選區,李和順,1,男,1952,56,無黨團結聯盟,65601,40.83%,,是,,
第七屆(2008),基隆市第01選區,游祥耀,1,男,1952,56,民主進步黨,41709,28.58%,,否,,
第七屆(2008),臺中市第02選區,謝明源,3,男,1952,56,民主進步黨,60582,36.06%,,是,,
第七屆(2008),金門縣第01選區,高絃騰,3,男,1952,56,公民黨,39,0.14%,,否,,
第七屆(2008),臺北市第05選區,林郁方,4,男,1951,57,中國國民黨,87448,58.24%,*,是,,
第七屆(2008),臺北市第08選區,賴士葆,4,男,1951,57,中國國民黨,104257,71.81%,*,是,,
第七屆(2008),臺北縣第08選區,張慶忠,1,男,1951,57,中國國民黨,94785,59.55%,*,是,,
第七屆(2008),南投縣第02選區,林明溱,1,男,1951,57,中國國民黨,62344,57.93%,*,否,,
第七屆(2008),全國（山原）,簡東明,3,男,1951,57,中國國民黨,22659,26.86%,*,否,,
第七屆(2008),臺北市第06選區,林俊賢,7,男,1951,57,台灣農民黨,221,0.14%,,否,,
第七屆(2008),桃園縣第03選區,彭添富,2,男,1951,57,民主進步黨,49305,36.32%,,是,,
第七屆(2008),臺中縣第02選區,劉瑞龍,2,男,1951,57,民主進步黨,41093,29.55%,,否,,
第七屆(2008),彰化縣第01選區,陳秀卿,1,女,1950,58,中國國民黨,67236,44.96%,*,是,,
第七屆(2008),臺北縣第01選區,楊仁清,3,男,1950,58,客家黨,325,0.22%,,否,,
第七屆(2008),桃園縣第04選區,黃宗源,2,男,1950,58,民主進步黨,47966,37.07%,,是,,
第七屆(2008),苗栗縣第02選區,何智輝,1,男,1950,58,中國國民黨,48290,38.06%,,是,,
第七屆(2008),臺南縣第03選區,吳健保,1,男,1950,58,中國國民黨,76285,47.33%,,否,,
第七屆(2008),高雄縣第03選區,吳光訓,3,男,1950,58,中國國民黨,53205,43.00%,,是,,
第七屆(2008),高雄縣第04選區,吳隆傑,2,男,1950,58,台灣團結聯盟,1095,0.74%,,否,,
第七屆(2008),臺中市第03選區,王名江,4,男,1950,58,大道慈悲濟世黨,322,0.23%,,否,,
第七屆(2008),全國（平原）,宋進財,3,男,1950,58,無黨籍及未經政黨推薦,10662,16.27%,,否,,
第七屆(2008),臺北縣第07選區,吳清池,4,男,1949,59,中國國民黨,65752,55.82%,*,是,,
第七屆(2008),新竹縣第01選區,邱鏡淳,3,男,1949,59,中國國民黨,127892,66.52%,*,是,,
第七屆(2008),高雄市第02選區,曾文聖,3,男,1949,59,制憲聯盟,186,0.14%,,否,,
第七屆(2008),高雄市第02選區,林稱雄,4,男,1949,59,無黨籍及未經政黨推薦,184,0.14%,,否,,
第七屆(2008),花蓮縣第01選區,盧博基,2,男,1949,59,民主進步黨,27207,28.88%,,是,,
第七屆(2008),臺北縣第03選區,余天,3,男,1948,60,民主進步黨,75212,49.51%,*,否,,
第七屆(2008),臺北縣第12選區,李慶華,4,男,1948,60,中國國民黨,63297,51.96%,*,是,,
第七屆(2008),桃園縣第05選區,朱鳳芝,3,女,1948,60,中國國民黨,79671,63.76%,*,是,,
第七屆(2008),南投縣第01選區,吳敦義,1,男,1948,60,中國國民黨,64295,67.12%,*,是,,
第七屆(2008),屏東縣第02選區,王進士,2,男,1948,60,中國國民黨,69027,56.82%,*,否,,
第七屆(2008),澎湖縣第01選區,林炳坤,4,男,1948,60,無黨團結聯盟,19584,50.71%,*,是,,
第七屆(2008),臺北市第07選區,連石磊,2,男,1948,60,客家黨,241,0.16%,,否,,
第七屆(2008),雲林縣第01選區,陳憲中,4,男,1948,60,民主進步黨,64921,42.17%,,是,,
第七屆(2008),臺北市第06選區,樂可銘,1,男,1947,61,制憲聯盟,89,0.05%,,否,,
第七屆(2008),臺北縣第01選區,李顯榮,5,男,1947,61,民主進步黨,56594,39.83%,,是,,
第七屆(2008),彰化縣第03選區,林重謨,3,男,1947,61,民主進步黨,46595,30.84%,,是,,
第七屆(2008),雲林縣第01選區,黃山谷,1,男,1947,61,綠黨,779,0.50%,,否,,
第七屆(2008),高雄縣第01選區,顏文章,3,男,1947,61,民主進步黨,61679,45.68%,,是,,
第七屆(2008),全國（山原）,林春德,6,男,1947,61,親民黨,14265,16.91%,,是,,
第七屆(2008),高雄市第04選區,李復興,5,男,1946,62,中國國民黨,74502,51.32%,*,是,,
第七屆(2008),宜蘭縣第01選區,林建榮,2,男,1946,62,中國國民黨,94965,53.12%,*,是,,
第七屆(2008),高雄市第04選區,黃昭輝,1,男,1946,62,民主進步黨,67663,46.61%,,是,,
第七屆(2008),彰化縣第01選區,陳進丁,3,男,1946,62,無黨團結聯盟,50771,33.95%,,是,,
第七屆(2008),高雄市第05選區,楊掌朝,3,男,1945,63,洪運忠義黨,581,0.42%,,否,,
第七屆(2008),臺北縣第09選區,洪一平,3,男,1945,63,無黨籍及未經政黨推薦,27044,19.08%,,否,,
第七屆(2008),嘉義市第01選區,莊和子,3,女,1945,63,民主進步黨,45293,40.08%,,是,,
第七屆(2008),桃園縣第02選區,廖正井,2,男,1945,63,中國國民黨,71174,54.57%,*,否,,
第七屆(2008),嘉義縣第02選區,黃茂,2,男,1944,64,制憲聯盟,940,0.82%,,否,,
第七屆(2008),嘉義市第01選區,江義雄,2,男,1944,64,中國國民黨,52774,46.70%,*,是,,
第七屆(2008),臺北縣第06選區,林景松,3,男,1943,65,世界和平黨,489,0.40%,,否,,
第七屆(2008),彰化縣第04選區,江昭儀,3,男,1943,65,民主進步黨,54808,37.08%,,是,,
第七屆(2008),臺南縣第01選區,洪玉欽,3,男,1943,65,中國國民黨,68796,44.74%,,是,,
第七屆(2008),臺中縣第01選區,劉銓忠,2,男,1942,66,中國國民黨,59632,53.59%,*,是,,
第七屆(2008),全國（平原）,楊仁福,5,男,1942,66,中國國民黨,17069,26.05%,*,是,,
第七屆(2008),臺中市第01選區,蔡明憲,1,男,1941,67,民主進步黨,53471,38.70%,,否,,
第七屆(2008),臺北市第03選區,蔣孝嚴,1,男,1941,67,中國國民黨,99959,60.25%,*,是,,
第七屆(2008),臺北市第07選區,陳源奇,3,男,1940,68,大道慈悲濟世黨,229,0.15%,,否,,
第七屆(2008),高雄市第05選區,趙連出,4,男,1940,68,大道慈悲濟世黨,1098,0.80%,,否,,
第七屆(2008),臺北縣第03選區,蘇卿彥,2,男,1939,69,無黨籍及未經政黨推薦,767,0.50%,,否,,
第七屆(2008),臺北市第04選區,許家琛,4,男,1935,73,無黨籍及未經政黨推薦,159,0.09%,,否,,
第七屆(2008),臺北市第06選區,林裕發,8,男,1932,76,制憲聯盟,87,0.05%,,否,,
第七屆(2008),臺北市第08選區,方景鈞,6,男,1930,78,無黨籍及未經政黨推薦,277,0.19%,,否,,
第七屆(2008),臺北縣第09選區,楊錫周,1,男,1930,78,制憲聯盟,338,0.23%,,否,,
第七屆(2008),桃園縣第02選區,蔡楊如松,3,女,1927,81,台灣農民黨,672,0.51%,,否,,
第七屆(2008),高雄市第04選區,林景元,2,男,1925,83,無黨籍及未經政黨推薦,1626,1.12%,,否,,
第三屆(1995),臺北市第1選區,陳建銘,13,男,1967,28,無,291,0.05%,,否,,
第三屆(1995),臺北市第2選區,張婉君,27,女,1964,31,無,1881,0.32%,,否,,
第三屆(1995),新竹縣選舉區,彭鳳貞,4,女,1964,31,新黨,21351,12.58%,,否,,
第三屆(1995),臺中縣選舉區,周家齊,8,男,1964,31,民主進步黨,53681,8.41%,,否,,
第三屆(1995),臺南縣選舉區,劉明瑞,13,男,1964,31,無,1747,0.35%,,否,,
第三屆(1995),臺東縣選舉區,賴坤成,3,男,1964,31,民主進步黨,20330,29.41%,,否,,
第三屆(1995),臺北市第2選區,羅世和,24,男,1963,32,無,885,0.15%,,否,,
第三屆(1995),臺中縣選舉區,邱瓊玉,5,女,1963,32,無,5938,0.93%,,否,,
第三屆(1995),臺北市第1選區,吳寶芬,14,女,1962,33,無,2548,0.42%,,否,,
第三屆(1995),臺北縣選舉區,田永彥,25,男,1962,33,無,6578,0.46%,,否,,
第三屆(1995),臺北縣選舉區,蔡文賢,31,男,1962,33,中國國民黨,35275,2.49%,,否,,
第三屆(1995),臺北市第1選區,張晉城,20,男,1949,46,民主進步黨,34845,5.78%,*,否,,
第三屆(1995),臺北縣選舉區,林福田,5,男,1961,34,無,1681,0.12%,,否,,
第三屆(1995),彰化縣選舉區,謝政穎,12,男,1961,34,無,20127,3.39%,,否,,
第三屆(1995),屏東縣選舉區,邱子正,8,男,1961,34,民主進步黨,29802,7.66%,,否,,
第三屆(1995),臺北市第2選區,陳鴻基,3,男,1949,46,中國國民黨,41177,7.05%,*,否,,
第三屆(1995),臺北市第2選區,葉菊蘭,33,女,1949,46,民主進步黨,56364,9.64%,*,是,,
第三屆(1995),臺北市第2選區,王娟萍,2,女,1960,35,勞動黨,709,0.12%,,否,,
第三屆(1995),桃園縣選舉區,鍾榮炎,13,男,1960,35,無,1022,0.16%,,否,,
第三屆(1995),苗栗縣選舉區,朱天衣,6,女,1960,35,新黨,19527,7.20%,,否,,
第三屆(1995),新竹縣選舉區,鄭永金,1,男,1949,46,中國國民黨,63254,37.27%,*,否,,
第三屆(1995),臺北縣選舉區,翁明崧,26,男,1959,36,無,504,0.04%,,否,,
第三屆(1995),南投縣選舉區,賴英芳,1,男,1959,36,中國國民黨,39676,17.94%,,是,,
第三屆(1995),雲林縣選舉區,藍照慶,8,男,1959,36,新黨,8471,2.46%,,否,,
第三屆(1995),高雄縣選舉區,林志隆,14,男,1959,36,中國國民黨,36872,6.78%,,否,,
第三屆(1995),基隆市選舉區,林則奘,7,男,1959,36,無,9712,6.05%,,否,,
第三屆(1995),臺中市選舉區,黃顯洲,3,男,1959,36,中國國民黨,43805,12.39%,,否,,
第三屆(1995),全國（山原）,溫梅桂,1,女,1959,36,新黨,3505,4.74%,,否,,
第三屆(1995),臺北市第1選區,張慶源,8,男,1958,37,無,401,0.07%,,否,,
第三屆(1995),高雄市第1選區,蘇盈貴,12,男,1958,37,無,9822,2.71%,,否,,
第三屆(1995),高雄市第2選區,許曉丹,12,女,1958,37,無,16323,5.46%,,否,,
第三屆(1995),臺北縣選舉區,朱蕾,36,女,1958,37,無,2607,0.18%,,否,,
第三屆(1995),南投縣選舉區,陳志彬,5,男,1949,46,中國國民黨,40167,18.17%,*,是,,
第三屆(1995),臺北市第1選區,吳武明,12,男,1957,38,無,768,0.13%,,否,,
第三屆(1995),臺北縣選舉區,曾宗順,8,男,1957,38,無,1851,0.13%,,否,,
第三屆(1995),彰化縣選舉區,洪英花,1,女,1957,38,無,8324,1.40%,,否,,
第三屆(1995),高雄縣選舉區,葉發欉,7,男,1957,38,無,19471,3.58%,,否,,
第三屆(1995),屏東縣選舉區,亓允文,3,男,1957,38,新黨,17532,4.50%,,否,,
第三屆(1995),臺中市選舉區,邱潤容,1,女,1957,38,無,3075,0.87%,,否,,
第三屆(1995),金門縣選舉區,吳成典,3,男,1957,38,新黨,6996,33.42%,,否,,
第三屆(1995),南投縣選舉區,彭百顯,7,男,1949,46,民主進步黨,68397,30.93%,*,是,,
第三屆(1995),嘉義縣選舉區,蔡式淵,5,男,1949,46,民主進步黨,73797,31.58%,*,否,,
第三屆(1995),臺中市選舉區,謝啟大,9,女,1949,46,新黨,80771,22.85%,*,是,,
第二屆(1992),台南市,施台生,,男,,47,中國國民黨,,,*,,,
第三屆(1995),臺北市第1選區,柯賜海,22,男,1956,39,無,145,0.02%,,否,,
第三屆(1995),臺北市第2選區,黃建源,1,男,1956,39,無,510,0.09%,,否,,
第三屆(1995),臺北縣選舉區,李日盛,47,男,1956,39,無,454,0.03%,,否,,
第三屆(1995),臺中縣選舉區,廖永來,10,男,1956,39,民主進步黨,55812,8.74%,,是,,
第三屆(1995),臺中縣選舉區,劉劍成,11,男,1956,39,中國國民黨,44383,6.95%,,否,,
第三屆(1995),彰化縣選舉區,李炳南,11,男,1956,39,新黨,28055,4.73%,,否,,
第三屆(1995),臺南縣選舉區,楊澤泉,11,男,1956,39,民主進步黨,34777,7.02%,,否,,
第三屆(1995),高雄縣選舉區,錢漢清,16,男,1956,39,無,542,0.10%,,否,,
